Tiempo;average(B);average(A)
(ms);(V);(V)

-22,78091075;0,00576251;0,36296360
-22,77067075;0,00575849;0,36052440
-22,76043075;0,00575715;0,35754870
-22,75019075;0,00574319;0,35527500
-22,73995075;0,00575527;0,35289060
-22,72971075;0,00576736;0,34984800
-22,71947075;0,00573003;0,34725220
-22,70923076;0,00573780;0,34440010
-22,69899076;0,00574023;0,34151660
-22,68875076;0,00573269;0,33852840
-22,67851076;0,00573756;0,33601720
-22,66827076;0,00572627;0,33284120
-22,65803076;0,00572948;0,32960310
-22,64779076;0,00573969;0,32591380
-22,63755076;0,00572732;0,32268790
-22,62731076;0,00572382;0,32030390
-22,61707076;0,00572385;0,31743220
-22,60683076;0,00573029;0,31407260
-22,59659076;0,00571658;0,31123800
-22,58635076;0,00570636;0,30782220
-22,57611076;0,00571066;0,30474690
-22,56587076;0,00570932;0,30174680
-22,55563076;0,00571793;0,29852690
-22,54539076;0,00568997;0,29504590
-22,53515076;0,00569429;0,29144230
-22,52491076;0,00568138;0,28799760
-22,51467076;0,00570851;0,28483320
-22,50443076;0,00567869;0,28137590
-22,49419076;0,00568138;0,27776690
-22,48395076;0,00567250;0,27401660
-22,47371076;0,00567117;0,27046780
-22,46347076;0,00567170;0,26747110
-22,45323076;0,00565692;0,26350530
-22,44299076;0,00565559;0,25972710
-22,43275076;0,00565641;0,25583180
-22,42251076;0,00566553;0,25242890
-22,41227076;0,00564377;0,24916200
-22,40203076;0,00564673;0,24542960
-22,39179076;0,00563759;0,24204510
-22,38155076;0,00564916;0,23755780
-22,37131076;0,00562980;0,23446680
-22,36107076;0,00561124;0,23091910
-22,35083076;0,00563141;0,22674870
-22,34059076;0,00561716;0,22293780
-22,33035076;0,00562280;0,21925500
-22,32011076;0,00559083;0,21577580
-22,30987076;0,00558762;0,21197050
-22,29963076;0,00557257;0,20829050
-22,28939076;0,00558682;0,20406540
-22,27915076;0,00558816;0,20018690
-22,26891076;0,00554786;0,19650340
-22,25867076;0,00555995;0,19208910
-22,24843076;0,00556047;0,18754080
-22,23819076;0,00554519;0,18387680
-22,22795076;0,00552826;0,18045600
-22,21771076;0,00551911;0,17639600
-22,20747076;0,00551991;0,17234180
-22,19723076;0,00550406;0,16780630
-22,18699076;0,00549119;0,16410770
-22,17675076;0,00547667;0,16008410
-22,16651076;0,00548422;0,15555350
-22,15627076;0,00547128;0,15113860
-22,14603076;0,00545920;0,14733260
-22,13579076;0,00542778;0,14333130
-22,12555076;0,00541462;0,13860530
-22,11531076;0,00540037;0,13428180
-22,10507076;0,00539204;0,13036790
-22,09483076;0,00535685;0,12618010
-22,08459076;0,00533831;0,12212640
-22,07435076;0,00533239;0,11751620
-22,06411076;0,00531601;0,11387920
-22,05387076;0,00529908;0,10981860
-22,04363076;0,00526630;0,10575840
