Tiempo;average(B);average(A)
(ms);(V);(V)

-20,58852073;-0,02893640;-0,41603070
-20,57828073;-0,02902667;-0,41714460
-20,56804073;-0,02898535;-0,41837110
-20,55780073;-0,02897780;-0,42004120
-20,54756073;-0,02896649;-0,42160020
-20,53732073;-0,02893645;-0,42174920
-20,52708073;-0,02895521;-0,42267690
-20,51684073;-0,02896276;-0,42308540
-20,50660073;-0,02893270;-0,42434830
-20,49636073;-0,02894022;-0,42531470
-20,48612073;-0,02894397;-0,42691100
-20,47588073;-0,02894020;-0,42783950
-20,46564073;-0,02893273;-0,42906440
-20,45540073;-0,02894771;-0,42969580
-20,44516073;-0,02889888;-0,42973290
-20,43492073;-0,02891012;-0,43099450
-20,42468073;-0,02891009;-0,43132870
-20,41444073;-0,02888761;-0,43151380
-20,40420073;-0,02889510;-0,43192180
-20,39396073;-0,02889127;-0,43218140
-20,38372073;-0,02888381;-0,43225560
-20,37348073;-0,02888754;-0,43214400
-20,36324073;-0,02890630;-0,43314560
-20,35300073;-0,02884991;-0,43329440
-20,34276073;-0,02884621;-0,43325680
-20,33252073;-0,02885747;-0,43351620
-20,32228073;-0,02886493;-0,43381400
-20,31204073;-0,02890257;-0,43388840
-20,30180073;-0,02888377;-0,43347990
-20,29156073;-0,02884243;-0,43322010
-20,28132073;-0,02883486;-0,43333100
-20,27108073;-0,02884615;-0,43322030
-20,26084073;-0,02882735;-0,43359120
-20,25060073;-0,02883495;-0,43310860
-20,24036073;-0,02880854;-0,43296040
-20,23012073;-0,02881982;-0,43281160
-20,21988073;-0,02878599;-0,43218150
-20,20964073;-0,02881231;-0,43195890
-20,19940073;-0,02883491;-0,43199620
-20,18916073;-0,02879731;-0,43158780
-20,17892073;-0,02882739;-0,43147690
-20,16868073;-0,02884622;-0,43106880
-20,15844073;-0,02882738;-0,43010350
-20,14820073;-0,02882357;-0,42973280
-20,13796073;-0,02877470;-0,42865570
-20,12772073;-0,02873710;-0,42757920
-20,11748073;-0,02877843;-0,42795070
-20,10724073;-0,02881229;-0,42590770
-20,09700073;-0,02875586;-0,42405120
-20,08676073;-0,02876717;-0,42356840
-20,07652073;-0,02872585;-0,42256540
-20,06628073;-0,02880487;-0,42212020
-20,05604073;-0,02882360;-0,42111780
-20,04580073;-0,02875966;-0,42037570
-20,03556073;-0,02872204;-0,41877990
-20,02532073;-0,02874087;-0,41710840
-20,01508073;-0,02876339;-0,41621600
-20,00484073;-0,02874081;-0,41513920
-19,99460073;-0,02872957;-0,41383790
-19,98436073;-0,02877475;-0,41302110
-19,97412073;-0,02873708;-0,41179690
-19,96388073;-0,02869198;-0,41098060
-19,95364073;-0,02874085;-0,40934750
-19,94340073;-0,02874086;-0,40663570
-19,93316073;-0,02868442;-0,40537290
-19,92292073;-0,02872206;-0,40325580
-19,91268073;-0,02868067;-0,40136250
-19,90244073;-0,02873332;-0,39880060
-19,89220073;-0,02870326;-0,39690510
-19,88196073;-0,02869945;-0,39564100
-19,87172073;-0,02866935;-0,39456480
-19,86148073;-0,02867315;-0,39289400
-19,85124073;-0,02869194;-0,38996010
-19,84100073;-0,02869198;-0,38747110
-19,83076073;-0,02865060;-0,38617200
-19,82052073;-0,02862806;-0,38487400
-19,81028073;-0,02868822;-0,38290890
-19,80004073;-0,02869196;-0,37960900
-19,78980073;-0,02864680;-0,37816250
-19,77956073;-0,02863928;-0,37660260
-19,76932073;-0,02869957;-0,37418790
-19,75908073;-0,02866189;-0,37140240
-19,74884073;-0,02868826;-0,36950950
-19,73860073;-0,02860923;-0,36690940
-19,72836073;-0,02860171;-0,36427170
-19,71812073;-0,02862422;-0,36178480
-19,70788073;-0,02863175;-0,35981810
-19,69764073;-0,02857907;-0,35799730
-19,68740073;-0,02856410;-0,35439470
-19,67716073;-0,02859041;-0,35172130
-19,66692073;-0,02861302;-0,34949260
-19,65668073;-0,02852272;-0,34696610
-19,64644073;-0,02858291;-0,34392150
-19,63620073;-0,02857169;-0,34150880
-19,62596073;-0,02859042;-0,33879680
-19,61572073;-0,02853401;-0,33597450
-19,60548073;-0,02856036;-0,33293140
-19,59524073;-0,02856408;-0,32948130
-19,58500073;-0,02854899;-0,32643620
-19,57476073;-0,02859417;-0,32387190
-19,56452073;-0,02847012;-0,32145850
-19,55428073;-0,02853779;-0,31830140
-19,54404073;-0,02857911;-0,31436520
-19,53380073;-0,02851521;-0,31117200
-19,52356073;-0,02848515;-0,30749510
-19,51332073;-0,02851142;-0,30526580
-19,50308073;-0,02848140;-0,30192520
-19,49284073;-0,02851519;-0,29850800
-19,48260073;-0,02851896;-0,29524150
-19,47236073;-0,02848141;-0,29190370
-19,46212073;-0,02844751;-0,28849200
-19,45188073;-0,02848890;-0,28548400
-19,44164073;-0,02850388;-0,28225250
-19,43140073;-0,02844374;-0,27894710
-19,42116073;-0,02843245;-0,27497230
-19,41092073;-0,02841749;-0,27125960
-19,40068073;-0,02841371;-0,26899450
-19,39044073;-0,02848509;-0,26546580
-19,38020073;-0,02839488;-0,26112000
-19,36996073;-0,02842871;-0,25658970
-19,35972073;-0,02841744;-0,25321100
-19,34948073;-0,02839115;-0,24994370
-19,33924073;-0,02841740;-0,24604480
-19,32900073;-0,02841366;-0,24296400
-19,31876073;-0,02839859;-0,23813880
-19,30852073;-0,02843999;-0,23464730
-19,29828073;-0,02832714;-0,23186230
-19,28804073;-0,02833848;-0,22777770
-19,27780073;-0,02833465;-0,22380500
-19,26756073;-0,02840230;-0,21960740
-19,25732073;-0,02827828;-0,21570670
-19,24708073;-0,02827080;-0,21243910
-19,23684073;-0,02829329;-0,20805570
-19,22660073;-0,02833094;-0,20438090
-19,21636073;-0,02821810;-0,20014700
-19,20612073;-0,02825572;-0,19691620
-19,19588073;-0,02824819;-0,19365280
-19,18564073;-0,02821809;-0,18875620
-19,17540073;-0,02820682;-0,18426210
-19,16516073;-0,02819558;-0,18095820
-19,15492073;-0,02819174;-0,17691060
-19,14468073;-0,02816542;-0,17241670
-19,13444073;-0,02817673;-0,16807090
-19,12420073;-0,02811658;-0,16350420
-19,11396073;-0,02813912;-0,16019930
-19,10372073;-0,02810525;-0,15563070
-19,09348073;-0,02804508;-0,15132240
-19,08324073;-0,02803755;-0,14653300
-19,07300073;-0,02802251;-0,14356400
-19,06276073;-0,02796987;-0,13881140
-19,05252073;-0,02798494;-0,13465240
-19,04228073;-0,02794730;-0,12989980
-19,03204073;-0,02790593;-0,12614820
-19,02180073;-0,02787213;-0,12321480
-19,01156073;-0,02784576;-0,11757060
-19,00132073;-0,02786833;-0,11303920
-18,99108073;-0,02783077;-0,10843370
-18,98084073;-0,02774794;-0,10419950
-18,97060073;-0,02773668;-0,09940893
-18,96036074;-0,02769904;-0,09521762
-18,95012074;-0,02767276;-0,09084120
-18,93988074;-0,02758250;-0,08709057
-18,92964074;-0,02754487;-0,08230103
-18,91940074;-0,02750725;-0,07799248
-18,90916074;-0,02744703;-0,07346293
-18,89892074;-0,02741693;-0,06945251
-18,88868074;-0,02732668;-0,06466103
-18,87844074;-0,02724770;-0,06038909
-18,86820074;-0,02724769;-0,05563686
-18,85796074;-0,02711228;-0,05155191
-18,84772074;-0,02701823;-0,04687368
-18,83748074;-0,02695809;-0,04208581
-18,82724074;-0,02683019;-0,03736943
-18,81700074;-0,02675124;-0,03380293
-18,80676074;-0,02664217;-0,02882711
-18,79652074;-0,02644655;-0,02418555
-18,78628074;-0,02629991;-0,01920902
-18,77604074;-0,02610429;-0,01542144
-18,76580074;-0,02590874;-0,01074177
-18,75556074;-0,02567179;-0,00539913
-18,74532074;-0,02534454;-0,00165431
-18,73508074;-0,02490444;0,00305400
-18,72484074;-0,02425380;0,00717021
-18,71460074;-0,02165475;0,01184736
-18,70436074;-0,01072483;0,01626677
-18,69412074;0,01177412;0,02027755
-18,68388074;0,02937263;0,02469779
-18,67364074;0,03044452;0,03008268
-18,66340074;0,02787182;0,03468646
-18,65316074;0,02822167;0,03877103
-18,64292074;0,02891755;0,04337478
-18,63268074;0,02901146;0,04816274
-18,62244074;0,02912058;0,05280544
-18,61220074;0,02916194;0,05666793
-18,60196074;0,02934999;0,06093803
-18,59172074;0,02942903;0,06539463
-18,58148074;0,02948164;0,07037159
-18,57124074;0,02958691;0,07427114
-18,56100074;0,02965087;0,07939711
-18,55076074;0,02966594;0,08366643
-18,54052074;0,02977119;0,08797336
-18,53028074;0,02987278;0,09127728
-18,52004074;0,02987656;0,09569028
-18,50980074;0,02988409;0,10014460
-18,49956074;0,02996679;0,10508280
-18,48932074;0,03006462;0,10857290
-18,47908074;0,03007218;0,11321620
-18,46884074;0,03004962;0,11744980
-18,45860074;0,03010222;0,12250050
-18,44836074;0,03016243;0,12636250
-18,43812074;0,03014364;0,13085650
-18,42788074;0,03019255;0,13553550
-18,41764074;0,03021885;0,13984390
-18,40740074;0,03024891;0,14363020
-18,39716074;0,03026776;0,14819540
-18,38692074;0,03028279;0,15302340
-18,37668074;0,03026771;0,15632750
-18,36644074;0,03034301;0,16026470
-18,35620074;0,03034673;0,16360710
-18,34596074;0,03036559;0,16873100
-18,33572074;0,03031290;0,17366970
-18,32548074;0,03039187;0,17820150
-18,31524074;0,03040318;0,18087590
-18,30500074;0,03037684;0,18562920
-18,29476074;0,03040313;0,18941580
-18,28452074;0,03042574;0,19394010
-18,27428074;0,03039191;0,19724120
-18,26404074;0,03038809;0,20073310
-18,25380074;0,03044456;0,20511480
-18,24356074;0,03041439;0,20882900
-18,23332074;0,03049723;0,21324770
-18,22308074;0,03050848;0,21636610
-18,21284074;0,03043702;0,22060050
-18,20260074;0,03047457;0,22490890
-18,19236074;0,03049343;0,22828910
-18,18212074;0,03045961;0,23196520
-18,17188074;0,03042196;0,23504740
-18,16164074;0,03050471;0,23931830
-18,15140074;0,03048969;0,24313980
-18,14116074;0,03045960;0,24733380
-18,13092074;0,03042949;0,25097470
-18,12068074;0,03048216;0,25461420
-18,11044074;0,03045579;0,25791930
-18,10020074;0,03042580;0,26211430
-18,08996074;0,03044455;0,26605140
-18,07972074;0,03044833;0,26906040
-18,06948074;0,03040695;0,27236430
-18,05924074;0,03045582;0,27678330
-18,04900074;0,03048970;0,27945810
-18,03876074;0,03047084;0,28402530
-18,02852074;0,03048219;0,28699800
-18,01828074;0,03043321;0,28944650
-18,00804074;0,03048970;0,29404420
-17,99780074;0,03045210;0,29682750
-17,98756074;0,03044829;0,29983650
-17,97732074;0,03044455;0,30354960
-17,96708074;0,03042191;0,30548000
-17,95684074;0,03044827;0,30830320
-17,94660074;0,03045592;0,31220330
-17,93636074;0,03042573;0,31595410
-17,92612074;0,03042195;0,31985340
-17,91588074;0,03044075;0,32263750
-17,90564074;0,03042567;0,32486560
-17,89540074;0,03038056;0,32861700
-17,88516074;0,03042199;0,33162370
-17,87492074;0,03042197;0,33395980
-17,86468074;0,03044830;0,33715240
-17,85444074;0,03043327;0,34057080
-17,84420074;0,03042200;0,34272420
