Tiempo;average(B);average(A)
(ms);(V);(V)

-22,17260451;0,42619960;0,84023460
-22,16236451;0,42583080;0,84047870
-22,15212451;0,42607700;0,84145520
-22,14188451;0,42607660;0,84212660
-22,13164451;0,42604630;0,84316400
-22,12140451;0,42607690;0,84426330
-22,11116451;0,42589260;0,84401880
-22,10092451;0,42567690;0,84487340
-22,09068451;0,42589250;0,84603330
-22,08044451;0,42583100;0,84755900
-22,07020451;0,42583050;0,84731480
-22,05996451;0,42586150;0,84829120
-22,04972451;0,42561560;0,84823050
-22,03948451;0,42561540;0,84981750
-22,02924451;0,42583070;0,84975610
-22,01900451;0,42564620;0,85042770
-22,00876451;0,42549200;0,85079380
-21,99852451;0,42543090;0,85097730
-21,98828451;0,42527710;0,85152640
-21,97804451;0,42530790;0,85189240
-21,96780451;0,42546180;0,85317430
-21,95756451;0,42555380;0,85354060
-21,94732451;0,42555390;0,85341820
-21,93708451;0,42524650;0,85402880
-21,92684451;0,42546190;0,85427280
-21,91660451;0,42490830;0,85445610
-21,90636451;0,42500020;0,85402880
-21,89612451;0,42509240;0,85439520
-21,88588451;0,42521580;0,85506620
-21,87564451;0,42512320;0,85482250
-21,86540451;0,42496970;0,85555490
-21,85516451;0,42472360;0,85506650
-21,84492451;0,42496960;0,85604330
-21,83468451;0,42466240;0,85531070
-21,82444451;0,42490840;0,85555450
-21,81420451;0,42484640;0,85476120
-21,80396451;0,42463140;0,85567680
-21,79372451;0,42472300;0,85500530
-21,78348451;0,42460070;0,85476110
-21,77324451;0,42438520;0,85415070
-21,76300451;0,42438550;0,85457780
-21,75276451;0,42453920;0,85390670
-21,74252451;0,42423170;0,85347940
-21,73228451;0,42420100;0,85341840
-21,72204451;0,42432380;0,85329650
-21,71180451;0,42398550;0,85256420
-21,70156451;0,42407790;0,85244190
-21,69132451;0,42380130;0,85201430
-21,68108451;0,42401610;0,85122120
-21,67084451;0,42386260;0,85116030
-21,66060451;0,42358540;0,85030570
-21,65036451;0,42383130;0,85018370
-21,64012451;0,42370890;0,84926810
-21,62988451;0,42367780;0,84823040
-21,61964451;0,42367760;0,84847470
-21,60940451;0,42340120;0,84707090
-21,59916451;0,42358610;0,84572790
-21,58892451;0,42333950;0,84566690
-21,57868451;0,42306270;0,84499540
-21,56844451;0,42333950;0,84414080
-21,55820451;0,42321640;0,84328650
-21,54796451;0,42312430;0,84212700
-21,53772451;0,42336990;0,84188240
-21,52748451;0,42306220;0,84102800
-21,51724451;0,42275540;0,84090590
-21,50700451;0,42290830;0,84060060
-21,49676451;0,42263200;0,84023460
-21,48652451;0,42266250;0,83974610
-21,47628451;0,42278580;0,83956350
-21,46604451;0,42263240;0,83925800
-21,45580451;0,42241630;0,83852580
-21,44556451;0,42223150;0,83852550
-21,43532451;0,42229380;0,83699970
-21,42508451;0,42217020;0,83571800
-21,41484451;0,42229360;0,83443620
-21,40460451;0,42201640;0,83236100
-21,39436451;0,42177020;0,83089610
-21,38412451;0,42186290;0,82943130
-21,37388452;0,42180110;0,82814950
-21,36364452;0,42198570;0,82613580
-21,35340452;0,42180090;0,82503690
-21,34316452;0,42158590;0,82418230
-21,33292452;0,42161690;0,82296160
-21,32268452;0,42112450;0,82253460
-21,31244452;0,42158590;0,82228990
-21,30220452;0,42127860;0,82174160
-21,29196452;0,42124740;0,82174160
-21,28172452;0,42121600;0,82137670
-21,27148452;0,42109340;0,82095030
-21,26124452;0,42121680;0,81948980
-21,25100452;0,42103200;0,81821290
-21,24076452;0,42115490;0,81559520
-21,23052452;0,42087840;0,81364650
-21,22028452;0,42069380;0,81230520
-21,21004452;0,42063230;0,80974480
-21,19980452;0,42057090;0,80834210
-21,18956452;0,42063240;0,80638980
-21,17932452;0,42044780;0,80516880
-21,16908452;0,42032450;0,80443630
-21,15884452;0,42032430;0,80388690
-21,14860452;0,42038630;0,80327670
-21,13836452;0,42001710;0,80205610
-21,12812452;0,42001710;0,80010290
-21,11788452;0,41998620;0,79833290
-21,10764452;0,41980140;0,79460980
-21,09740452;0,42001670;0,79131390
-21,08716452;0,41961710;0,78826210
-21,07692452;0,41964780;0,78740750
-21,06668452;0,41980220;0,78655280
-21,05644452;0,41955560;0,78630910
-21,04620452;0,41940170;0,78600380
-21,03596452;0,41921690;0,78496610
-21,02572452;0,41918580;0,78405120
-21,01548452;0,41924770;0,78264680
-21,00524452;0,41915520;0,77941200
-20,99500452;0,41890940;0,77745850
-20,98476452;0,41869360;0,77416220
-20,97452452;0,41872470;0,77239280
-20,96428452;0,41894030;0,77056160
-20,95404452;0,41857080;0,76885270
-20,94380452;0,41884760;0,76848640
-20,93356452;0,41863250;0,76689980
-20,92332452;0,41841710;0,76506820
-20,91308452;0,41850920;0,76213840
-20,90284452;0,41804800;0,75927020
-20,89260452;0,41832460;0,75627900
-20,88236452;0,41789390;0,75334950
-20,87212452;0,41795550;0,75145750
-20,86188452;0,41801660;0,75066390
-20,85164452;0,41792470;0,75029790
-20,84140452;0,41780170;0,74956520
-20,83116452;0,41770890;0,74901590
-20,82092452;0,41730900;0,74596490
-20,81068452;0,41761660;0,74285410
-20,80044452;0,41721670;0,73944230
-20,79020452;0,41712440;0,73652020
-20,77996452;0,41700120;0,73457340
-20,76972452;0,41727810;0,73305280
-20,75948452;0,41730960;0,73219980
-20,74924452;0,41684780;0,73122400
-20,73900452;0,41675560;0,72902660
-20,72876452;0,41647900;0,72475410
-20,71852452;0,41684800;0,72103100
-20,70828452;0,41672460;0,71663640
-20,69804452;0,41654030;0,71535490
-20,68780452;0,41644740;0,71425560
-20,67756452;0,41629400;0,71388980
-20,66732452;0,41604770;0,71193650
-20,65708452;0,41638620;0,70955630
-20,64684452;0,41614010;0,70626020
-20,63660452;0,41595570;0,70235410
-20,62636452;0,41570990;0,69899730
-20,61612452;0,41574060;0,69698300
-20,60588452;0,41583260;0,69594510
-20,59564452;0,41558680;0,69472470
-20,58540452;0,41555600;0,69075680
-20,57516452;0,41524850;0,68593510
-20,56492452;0,41527920;0,68379860
-20,55468452;0,41527900;0,68056360
-20,54444452;0,41506400;0,67861000
-20,53420452;0,41518700;0,67818280
-20,52396452;0,41497150;0,67635170
-20,51372452;0,41478710;0,67421570
-20,50348452;0,41466410;0,66902750
-20,49324452;0,41466390;0,66573150
-20,48300452;0,41432590;0,66200830
-20,47276452;0,41451060;0,66084900
-20,46252452;0,41463320;0,65975220
-20,45228452;0,41423370;0,65762140
-20,44204452;0,41395670;0,65323720
-20,43180452;0,41420280;0,64726360
-20,42156452;0,41392580;0,64397140
-20,41132452;0,41395650;0,64293460
-20,40108452;0,41352610;0,64244590
-20,39084452;0,41364920;0,64092020
-20,38060452;0,41340270;0,63646440
-20,37036452;0,41343410;0,63176440
-20,36012452;0,41321850;0,62797980
-20,34988452;0,41297230;0,62565950
-20,33964452;0,41294150;0,62236340
-20,32940452;0,41300320;0,61894520
-20,31916452;0,41284930;0,61424510
-20,30892452;0,41300290;0,61021690
-20,29868452;0,41272640;0,60734810
-20,28844452;0,41260330;0,60686010
-20,27820452;0,41241880;0,60539530
-20,26796452;0,41204950;0,60325910
-20,25772452;0,41198750;0,59868120
-20,24748452;0,41211060;0,59398140
-20,23724452;0,41186510;0,59038050
-20,22700452;0,41183360;0,58903740
-20,21676452;0,41164940;0,58787790
-20,20652452;0,41121830;0,58348870
-20,19628452;0,41143350;0,57806520
-20,18604452;0,41149490;0,57325350
-20,17580452;0,41118760;0,57100080
-20,16556452;0,41078780;0,57026920
-20,15532452;0,41044840;0,56758330
-20,14508452;0,41029520;0,56386010
-20,13484452;0,41007940;0,55922070
-20,12460452;0,41011040;0,55525350
-20,11436452;0,41007900;0,55311670
-20,10412452;0,41004870;0,55055340
-20,09388452;0,40961790;0,54658600
-20,08364452;0,40964830;0,54133680
-20,07340452;0,40946390;0,53773590
-20,06316452;0,40946380;0,53529440
-20,05292452;0,40918680;0,53413470
-20,04268452;0,40912530;0,53150990
-20,03244452;0,40887880;0,52583370
-20,02220452;0,40897100;0,52125580
-20,01196452;0,40881740;0,51795980
-20,00172452;0,40847860;0,51643400
-19,99148452;0,40838610;0,51338220
-19,98124452;0,40820190;0,50599690
-19,97100452;0,40817100;0,50172420
-19,96076452;0,40826320;0,49940500
-19,95052452;0,40777060;0,49794010
-19,94028452;0,40752420;0,49464480
-19,93004452;0,40749380;0,49019420
-19,91980452;0,40718570;0,48520020
-19,90956452;0,40706320;0,48240140
-19,89932452;0,40703200;0,47953760
-19,88908452;0,40675540;0,47447190
-19,87884452;0,40650890;0,46965010
-19,86860452;0,40647840;0,46501110
-19,85836452;0,40623210;0,46330210
-19,84812452;0,40614000;0,46226430
-19,83788452;0,40592390;0,45744260
-19,82764452;0,40549320;0,45304810
-19,81740452;0,40552400;0,44822620
-19,80716452;0,40524660;0,44560150
-19,79692452;0,40512430;0,44383130
-19,78668452;0,40497010;0,43937520
-19,77644452;0,40463130;0,43296570
-19,76620452;0,40460060;0,42838770
-19,75596452;0,40453910;0,42710600
-19,74572452;0,40401560;0,42558010
-19,73548452;0,40373860;0,42130750
-19,72524453;0,40401570;0,41557020
-19,71500453;0,40346110;0,41142020
-19,70476453;0,40324570;0,40885870
-19,69452453;0,40312300;0,40557180
-19,68428453;0,40287650;0,40027320
-19,67404453;0,40287670;0,39442050
-19,66380453;0,40250710;0,39222360
-19,65356453;0,40229150;0,39075900
-19,64332453;0,40238410;0,38764600
-19,63308453;0,40146060;0,38178650
-19,62284453;0,40164550;0,37708680
-19,61260453;0,40139930;0,37421810
-19,60236453;0,40112220;0,37244820
-19,59212453;0,40069200;0,36750420
-19,58188453;0,40078370;0,36140050
-19,57164453;0,40072210;0,35633460
-19,56140453;0,40032220;0,35486960
-19,55116453;0,39992220;0,35248930
-19,54092453;0,39976860;0,34717910
-19,53068453;0,39930740;0,34150260
-19,52044453;0,39875390;0,33777940
-19,51020453;0,39890760;0,33381280
-19,49996453;0,39853890;0,32893570
-19,48972453;0,39829260;0,32272440
-19,47948453;0,39801610;0,32041190
-19,46924453;0,39807730;0,31852180
-19,45900453;0,39758590;0,31614150
-19,44876453;0,39752460;0,30906080
-19,43852453;0,39709440;0,30503240
-19,42828453;0,39675630;0,30185830
-19,41804453;0,39638760;0,30051540
-19,40780453;0,39632590;0,29398480
-19,39756453;0,39549610;0,28659930
-19,38732453;0,39521950;0,28415790
-19,37708453;0,39491240;0,28196050
-19,36684453;0,39438990;0,27787100
-19,35660453;0,39395910;0,27274360
-19,34636453;0,39343640;0,26816590
-19,33612453;0,39334430;0,26444270
-19,32588453;0,39303610;0,26169610
-19,31564453;0,39248300;0,25431070
-19,30540453;0,39192830;0,24979410
-19,29516453;0,39131250;0,24735470
-19,28492453;0,39078970;0,24522490
-19,27468453;0,38974260;0,23931820
-19,26444453;0,38946570;0,23334400
-19,25420453;0,38897360;0,23059810
-19,24396453;0,38805040;0,22742420
-19,23372453;0,38721950;0,22083210
-19,22348453;0,38654350;0,21539950
-19,21324453;0,38580380;0,21216460
-19,20300453;0,38497420;0,20996720
