Tiempo;average(A);average(B)
(ms);(V);(V)

-21,66346367;0,84772260;1,53515300
-21,65322367;0,84709850;1,53562100
-21,64298367;0,84670470;1,53484000
-21,63274367;0,84575470;1,53530800
-21,62250367;0,84511170;1,53421500
-21,61226367;0,84466110;1,53468400
-21,60202367;0,84409560;1,53499700
-21,59178367;0,84356830;1,53530900
-21,58154367;0,84273240;1,53359000
-21,57130367;0,84216620;1,53390300
-21,56106367;0,84158990;1,53359100
-21,55082367;0,84104350;1,53280800
-21,54058367;0,84056350;1,53312200
-21,53034367;0,84033360;1,53327800
-21,52010367;0,83995970;1,53296400
-21,50986367;0,83992110;1,53296500
-21,49962367;0,83937390;1,53249600
-21,48938367;0,83881700;1,53140200
-21,47914367;0,83835700;1,53108900
-21,46890367;0,83762730;1,53140200
-21,45866367;0,83658130;1,53171400
-21,44842367;0,83543030;1,53077700
-21,43818367;0,83436480;1,53077700
-21,42794368;0,83290640;1,53030800
-21,41770368;0,83187020;1,53046400
-21,40746368;0,82996120;1,53093300
-21,39722368;0,82830050;1,52999500
-21,38698368;0,82699540;1,52968300
-21,37674368;0,82547930;1,52952700
-21,36650368;0,82440510;1,52890200
-21,35626368;0,82357950;1,52812000
-21,34602368;0,82286940;1,52843300
-21,33578368;0,82243820;1,52812000
-21,32554368;0,82216920;1,52812000
-21,31530368;0,82177580;1,52796400
-21,30506368;0,82139420;1,52812100
-21,29482368;0,82089770;1,52780800
-21,28458368;0,82000960;1,52718200
-21,27434368;0,81859480;1,52593200
-21,26410368;0,81704680;1,52562000
-21,25386368;0,81479740;1,52577600
-21,24362368;0,81298980;1,52452600
-21,23338368;0,81099680;1,52562000
-21,22314368;0,80896560;1,52515100
-21,21290368;0,80745920;1,52530800
-21,20266368;0,80615560;1,52483900
-21,19242368;0,80522390;1,52374500
-21,18218368;0,80445650;1,52358900
-21,17194368;0,80396720;1,52327600
-21,16170368;0,80335370;1,52358800
-21,15146368;0,80216340;1,52296300
-21,14122368;0,80002350;1,52312000
-21,13098368;0,79764430;1,52202600
-21,12074368;0,79419910;1,52218200
-21,11050368;0,79171320;1,52155700
-21,10026368;0,78892180;1,52108900
-21,09002368;0,78740450;1,52124400
-21,07978368;0,78660810;1,52140000
-21,06954368;0,78623470;1,52108800
-21,05930368;0,78575500;1,52015000
-21,04906368;0,78509190;1,52046300
-21,03882368;0,78393140;1,51921300
-21,02858368;0,78194500;1,51905700
-21,01834368;0,77954580;1,51890000
-21,00810368;0,77725310;1,51780700
-20,99786368;0,77470940;1,51749400
-20,98762368;0,77278080;1,51765000
-20,97738368;0,77023810;1,51780700
-20,96714368;0,76914250;1,51749400
-20,95690368;0,76807840;1,51733700
-20,94666368;0,76705200;1,51561800
-20,93642368;0,76512360;1,51702500
-20,92618368;0,76261840;1,51639900
-20,91594368;0,75976870;1,51468100
-20,90570368;0,75663980;1,51483700
-20,89546368;0,75437660;1,51374300
-20,88522368;0,75183220;1,51421200
-20,87498368;0,75084380;1,51405600
-20,86474368;0,75026760;1,51296200
-20,85450368;0,74963500;1,51327400
-20,84426368;0,74847360;1,51296200
-20,83402368;0,74619930;1,51155500
-20,82378368;0,74312910;1,51077400
-20,81354368;0,74036880;1,51155500
-20,80330368;0,73768650;1,51093100
-20,79306368;0,73487010;1,50999300
-20,78282368;0,73325340;1,50999300
-20,77258368;0,73222790;1,50905500
-20,76234368;0,73140380;1,50889800
-20,75210368;0,72930210;1,50889900
-20,74186368;0,72611710;1,50764800
-20,73162368;0,72191360;1,50624300
-20,72138368;0,71812360;1,50733600
-20,71114368;0,71565810;1,50655500
-20,70090368;0,71463080;1,50592900
-20,69066368;0,71380630;1,50514900
-20,68042368;0,71239460;1,50483600
-20,67018368;0,71015920;1,50468000
-20,65994368;0,70710780;1,50358600
-20,64970368;0,70356680;1,50342900
-20,63946368;0,70058300;1,50217900
-20,62922368;0,69822300;1,50186600
-20,61898368;0,69647570;1,50264800
-20,60874368;0,69478640;1,50202300
-20,59850368;0,69190930;1,50139700
-20,58826368;0,68849210;1,50092900
-20,57802368;0,68440400;1,50030400
-20,56778368;0,68150710;1,49936500
-20,55754368;0,67937650;1,49921000
-20,54730368;0,67824420;1,49858500
-20,53706368;0,67716990;1,49764800
-20,52682368;0,67470320;1,49796000
-20,51658368;0,67100860;1,49780400
-20,50634368;0,66728570;1,49764800
-20,49610368;0,66404250;1,49499100
-20,48586368;0,66163440;1,49624100
-20,47562368;0,66031200;1,49467800
-20,46538368;0,65848350;1,49452300
-20,45514368;0,65544060;1,49436600
-20,44490368;0,65003960;1,49389600
-20,43466368;0,64571840;1,49358400
-20,42442368;0,64326390;1,49311500
-20,41418368;0,64256300;1,49061500
-20,40394368;0,64111520;1,49186500
-20,39370368;0,63813150;1,48920900
-20,38346368;0,63440670;1,48967800
-20,37322368;0,62988730;1,48842700
-20,36298368;0,62682550;1,48889600
-20,35274368;0,62405280;1,48717700
-20,34250368;0,62128880;1,48733400
-20,33226368;0,61689390;1,48733300
-20,32202368;0,61261360;1,48686500
-20,31178368;0,60892900;1,48624000
-20,30154368;0,60717290;1,48530200
-20,29130368;0,60627030;1,48420800
-20,28106368;0,60436120;1,48452100
-20,27082368;0,60060960;1,48358300
-20,26058368;0,59665600;1,48248900
-20,25034368;0,59256840;1,48108200
-20,24010368;0,58980360;1,48108200
-20,22986368;0,58840270;1,48139500
-20,21962368;0,58625480;1,48014500
-20,20938368;0,58112780;1,48045700
-20,19914368;0,57634720;1,47905100
-20,18890368;0,57263250;1,47795700
-20,17866368;0,57087090;1,47905100
-20,16842368;0,56940390;1,47780100
-20,15818368;0,56644800;1,47670700
-20,14794368;0,56194810;1,47530100
-20,13770368;0,55787930;1,47467500
-20,12746368;0,55454950;1,47420700
-20,11722368;0,55223710;1,47373800
-20,10698368;0,54928120;1,47201800
-20,09674368;0,54457930;1,47123700
-20,08650368;0,53984840;1,47170600
-20,07626368;0,53675860;1,47092500
-20,06602368;0,53483960;1,47076900
-20,05578368;0,53283360;1,46904900
-20,04554368;0,52940830;1,46858000
-20,03530368;0,52421650;1,46811200
-20,02506368;0,52002300;1,46701800
-20,01482368;0,51770120;1,46748700
-20,00458368;0,51507980;1,46592400
-19,99434368;0,51009660;1,46639300
-19,98410368;0,50461330;1,46514300
-19,97386368;0,50065580;1,46467400
-19,96362368;0,49897510;1,46358000
-19,95338368;0,49715150;1,46311100
-19,94314368;0,49356470;1,46248600
-19,93290368;0,48865830;1,46092300
-19,92266368;0,48438010;1,46014200
-19,91242368;0,48132650;1,46014200
-19,90218368;0,47799060;1,45998600
-19,89194368;0,47340410;1,45967300
-19,88170368;0,46793450;1,45717300
-19,87146368;0,46458520;1,45842300
-19,86122368;0,46282900;1,45639100
-19,85098368;0,46067070;1,45545300
-19,84074368;0,45655380;1,45498500
-19,83050368;0,45141960;1,45529700
-19,82026368;0,44757180;1,45389100
-19,81002368;0,44517320;1,45201600
-19,79978368;0,44263920;1,45264100
-19,78954368;0,43770730;1,45076500
-19,77930369;0,43202690;1,45076500
-19,76906369;0,42830380;1,44998400
-19,75882369;0,42658620;1,44935900
-19,74858369;0,42405240;1,44701500
-19,73834369;0,41959060;1,44670200
-19,72810369;0,41445700;1,44732800
-19,71786369;0,41075380;1,44623400
-19,70762369;0,40800450;1,44514000
-19,69738369;0,40412760;1,44435800
-19,68714369;0,39848650;1,44264000
-19,67690369;0,39394170;1,44263900
-19,66666369;0,39158230;1,44248200
-19,65642369;0,38946180;1,44170200
-19,64618369;0,38540230;1,43857600
-19,63594369;0,38052800;1,43888900
-19,62570369;0,37634350;1,43826400
-19,61546369;0,37366600;1,43779500
-19,60522369;0,37139160;1,43482500
-19,59498369;0,36655570;1,43545100
-19,58474369;0,36002060;1,43357500
-19,57450369;0,35648940;1,43263800
-19,56426369;0,35476220;1,43295000
-19,55402369;0,35152870;1,43185700
-19,54378369;0,34588640;1,42966800
-19,53354369;0,34107890;1,42919900
-19,52330369;0,33709710;1,42841900
-19,51306369;0,33263740;1,42685600
-19,50282369;0,32684040;1,42607400
-19,49258369;0,32200670;1,42591800
-19,48234369;0,31993940;1,42544900
-19,47210369;0,31798400;1,42435500
-19,46186369;0,31402100;1,42232400
-19,45162369;0,30833040;1,42060400
-19,44138369;0,30411770;1,41919800
-19,43114369;0,30146970;1,41935400
-19,42090369;0,29842770;1,41794800
-19,41066369;0,29207550;1,41701100
-19,40042369;0,28680760;1,41576000
-19,39018369;0,28379450;1,41451000
-19,37994369;0,28114640;1,41435400
-19,36970369;0,27664610;1,41138500
-19,35946369;0,27145460;1,41091500
-19,34922369;0,26706910;1,40950900
-19,33898369;0,26404600;1,40935300
-19,32874369;0,25945830;1,40763400
-19,31850369;0,25340980;1,40779000
-19,30826369;0,24959820;1,40529000
-19,29802369;0,24733540;1,40482100
-19,28778369;0,24380350;1,40404000
-19,27754369;0,23845050;1,40278900
-19,26730369;0,23345730;1,40091400
-19,25706369;0,23000400;1,39966400
-19,24682369;0,22615660;1,39966400
-19,23658369;0,21985210;1,39778900
-19,22634369;0,21453610;1,39763200
-19,21610369;0,21185870;1,39607000
-19,20586369;0,20925800;1,39560100
-19,19562369;0,20456610;1,39466300
-19,18538369;0,19940340;1,39325700
-19,17514369;0,19529640;1,39232000
-19,16490369;0,19201460;1,39044400
-19,15466369;0,18733160;1,39060000
-19,14442369;0,18113250;1,38935000
-19,13418369;0,17741900;1,38872500
-19,12394369;0,17562500;1,38700600
-19,11370369;0,17207590;1,38669200
-19,10346369;0,16698720;1,38591200
-19,09322369;0,16206570;1,38434900
-19,08298369;0,15845750;1,38450500
-19,07274369;0,15546560;1,38247300
-19,06250369;0,14933420;1,38106700
-19,05226369;0,14372060;1,38059800
-19,04202369;0,14054450;1,37809800
-19,03178369;0,13791540;1,37825400
-19,02154369;0,13337610;1,37575400
-19,01130369;0,12808750;1,37497300
-19,00106369;0,12371050;1,37403500
-18,99082369;0,11999620;1,37356500
-18,98058369;0,11492010;1,37106500
-18,97034369;0,10970000;1,36997100
-18,96010369;0,10547790;1,36856400
